model,class,metric,point,ci_low,ci_high
yolov13_fasternet,all,P,0.6337,0.6219,0.6745
yolov13_fasternet,all,R,0.6463,0.6053,0.6663
yolov13_fasternet,all,F1,0.6363,0.6251,0.6489
yolov13_fasternet,all,mAP50,0.612,0.5959,0.629
yolov13_fasternet,all,mAP50_95,0.4158,0.4038,0.4281
yolov13_fasternet,dolphin,P,0.8493,0.8345,0.8953
yolov13_fasternet,dolphin,R,0.7714,0.7324,0.793
yolov13_fasternet,dolphin,F1,0.8085,0.7923,0.8266
yolov13_fasternet,dolphin,mAP50,0.8004,0.7802,0.8232
yolov13_fasternet,dolphin,mAP50_95,0.5399,0.525,0.5568
yolov13_fasternet,distractor,P,0.4181,0.3931,0.4845
yolov13_fasternet,distractor,R,0.5212,0.4466,0.5644
yolov13_fasternet,distractor,F1,0.464,0.4481,0.4799
yolov13_fasternet,distractor,mAP50,0.4237,0.4033,0.4456
yolov13_fasternet,distractor,mAP50_95,0.2917,0.2774,0.3072
yolov13_fasternet,all,infer_ms,36.2213,33.6991,39.9395
yolov13_baseline,all,P,0.6528,0.6213,0.6731
yolov13_baseline,all,R,0.6113,0.5944,0.6567
yolov13_baseline,all,F1,0.6285,0.6178,0.6433
yolov13_baseline,all,mAP50,0.6039,0.5893,0.6207
yolov13_baseline,all,mAP50_95,0.4216,0.4098,0.4352
yolov13_baseline,dolphin,P,0.8445,0.8176,0.8749
yolov13_baseline,dolphin,R,0.7108,0.6841,0.7401
yolov13_baseline,dolphin,F1,0.7719,0.7548,0.7925
yolov13_baseline,dolphin,mAP50,0.7731,0.7525,0.7947
yolov13_baseline,dolphin,mAP50_95,0.5344,0.5189,0.5535
yolov13_baseline,distractor,P,0.4611,0.4031,0.4851
yolov13_baseline,distractor,R,0.5119,0.4889,0.5962
yolov13_baseline,distractor,F1,0.4852,0.4709,0.5019
yolov13_baseline,distractor,mAP50,0.4347,0.415,0.4557
yolov13_baseline,distractor,mAP50_95,0.3087,0.2944,0.3243
yolov13_baseline,all,infer_ms,33.317,29.7183,37.986
